;0;0
0;es imposible q gobierno pueda abrir una negociacion con la oposicion si no se contempla el tema constitucional piñera puede mandar su propio proyecto y ya hay uno d la presidenta bachelet se veran los  en comisiones y hay que aprobar  el plebiscito para lo q salga del congreso;1
1;piñera no levantara la economia porque hace mas de lo mismo la economia chilena viene cayendo por la falta de diversificacion productiva por la desindustrializacion por la concentracion de la riqueza por la desigualdad por la falta de competencia por la falta de innovacion;0
2;sename la primera actividad como presidente de sebastian piñera;1
3;la busqueda de acuerdos a los que el pdte piñera nos convoca debe partir por asumir que los partidos opositores tienen mayoria en el congreso y nosotros en el pais y que las reformas no parten de cero sino de algunos avances del gobierno que recien termino;1
4;internacionales  sebastian piñera asumira por segunda ocasion la presidencia de chile;1
5;cambiocl memoria  adimark piñera termina su gobierno con un  de aprobacion bachelet con  ;1
6;macri se reunira con piñera y temer en marco de investidura enchile;1
7;una semana del gobierno de piñera y ya dicen que le van a dar indulto a gente de punta peuco van a quitar feriados y el ministro de educacion no quiere que los estudiantes se manifiesten tiempos mejores ;1
8;el periodismo no es el problema sino lo penca que son casi todos los lideres de derecha piñera se caga entero en entrevistas perdonen el frances al unico que le tienen miedo y nadie lo ha dejado callado es a joseantoniokast ese se los pasea como quiere;0
9;citrusnuances cuando gano piñera en el  un grupo de cuicosas llegaron celebrando a la moneda preguntando;0
10;se acuerdan de esta propaganda de piñera que decia agarrense de las manos que vienen tiempos mejoreshoy ingreso piñera al congreso el proyecto de reajuste de salario minimo por la suma de  que diran los que votaron por piñera con esta miseria de reajuste;0
11;elnacionalweb pues esa precion llevara a piñera a un estado de sequedad;0
12;el lunes el gran presidente sebastian piñera va entrar a la moneda y dira buenos das guardia y la guardia presidencial respondera buenos das mi presidente  ah los viejos tiempos de mi general pinochet  digan lo que me digan no me interesa;1
13;opinion  podra piñera convertir a chile en un pais del primer mundo;1
14;o sea ahora piñera tendra que rescatar los restos de los mineros de aysen que bachelet dejo enterrados en la mina ;0
15;es peligroso dejar en manos de bracitos cortos el cobre poner ojo mucho ojo los que deben fiscalizar pues haganlo letra chica piñera y la ley reservada del cobre;0
16;que prenda la tele y aparezca piñera por la ctm;0
17;macri asistira este domingo a la asuncion del presidente de chile sebastian piñera;1
18;michelle bachelet termina su mandato y empieza el gobierno de sebastian piñera;1
19;me gustaria invitar a cantantes actores trabajadores cesantes abuelos niños y sobre todo politicos para que se sumen al paromarcha del  y asi demuestren que estan contra piñera con la gente y sobre todo para que demuestren que en chile si existe oposicion;0
20;buenos dias menos  para piñera secuaces jueces fachos pobres;0
21;quien en la serena pah tomarse sus copetes en la noche y desde ya empezar a celebrar el ingreso a la moneda del pdte piñera ;1
22;bachelet entrega un mejor pais crecimiento economico fue mucho  bajo q durante el gobierno anterior  vs pero en casi todos los indices de desarrollo social salario minimohacinamiento extrema pobrezadesigualdad bachelet  supero a piñera;1
23;acabo de ver que piñera ocupa un beauty blender suddenly ya no me gusta el maquillaje;0
24;que levante la mano quien cree que realmente el sello del gobierno de piñera sera socialprimer parche ayudar en gastos de salud a clase media para que un cancer no los lleve a la pobreza en vez de profundizar en cambio para un sistema unico de saludmin moreno no pues;1
25;si la mitad de quienes critican a piñera o sus ministros en esta red social solo la mitad hubiese ido a votar no habria tanto carerraja en twitter;0
26;por la reconchetumare se dan cuenta de que la sm nos cancel un concierto o sea nos estaba dando l oportunidad de nuestras vidas y nos la quit de nuestras manos sm reculia y la zorra perra maraca y piera culiao dnde estn los tiempos mejores porque no los veo todo es tu culpa;0
27;piñera reajusta el sueldo minimo en  pesospero que derrocheeste gobierno de ineptos quiere que los trabajadores sigan pobres y endeudados para el resto de sus vidas vivir con  es insostenible un minimo de  mil seria algo mas digno;0
28;reunion con juan carlos i y otras autoridades revisa las imagenes de las audiencias oficiales de sebastian piñera;1
29;macri viajara a chile para la asuncion de sebastian piñerael presidente argentino mantendra una reunion bilateral con su par trasandino y tambien tendra una cumbre con el mandatario brasileño michel temer;1
30;piñera llego a cerro castillo en las horas previas al cambio de mando;1
31;camionero de linares alerta piñera te manda a decir ahora metete tu caga de camion por el culo;0
32;las comisiones prelegislativas de piñera son las pomadas mas grandes vendidas desde los quesitos de madame gil;0
33;el presidente boliviano evo morales llego hoy a chile para asistir mañana a la juramentacion del presidente electo chileno sebastian piñera;1
34;cnnchile memoria  adimark piñera termina su gobierno con un  de aprobacionbachelet con  ;1
35;bachelet solo dejo un decreto del cierre punta peuco  pero el nuevo gobierno de piñera tiene la ultima palabra si se cierra o no  ;1
36;el gobierno esta trabajando para la creacion de un nuevo credito para la educacion superior y que presentara en  dias no considera condonar deudas e intereses para los deudores del cae min de educ de piñeraque salio caro el no llamar e ir a votar todos a luchar unidos;0
37;estoyconpinera sebastianpinera sebastian piñera juntos  cambia;0
38;a un dia de tomar el mando sebastian piñera le viene un infarto fulminante y muere asume el futuro presidente del senado;1
39;ven que corrupcion chile fomenta las fake news ayudaron a ganar al sr piñera;0
40;que a  meses de gobierno haya tal nivel de decepcion ciudadana incluso entre quienes votaron por piñera es ineditoy preocupante porque se puede entrar en una espiral aun mas populista e irresponsable para revertir la caida mala combinacion la encuestocracia y la soberbia;1
41;bloq pal piñera;0
42;dicho esto piñera debe tirar atras el decreto de cierrepuntapeuco si bachelet hubiese querido hacer esto bien haria todo el proceso dentro de su gobierno;1
43;la foto oficial del presidente piñera pudo haber sido un poco mas solemne;1
44;a la izquierda no le gusta nada la clase media  es numerosa esforzada y no les venden cuentos piñera sera el presidente de la clase media;0
45;piñera culiao;0
46;algo busca piñera con el termino de la ley reservada del cobre l no da puntada sin hilo;0
47;se acuerdan cuando la izquierda terminado el er gob de piñera dijeron que la derecha no volveria a gobernar en  años y que si lo hacia seria con otro golpe de estado bueno les cuento que volvimos despues de  años y ganando una eleccion por paliza;1
48;sebastian piñera y donald trump podrian encontrarse en la cumbre de las americas en lima;0
49;la bachelet no merece respeto elegida por una minoria igual que el ladron de piñera el sistema politico postdictadura no esta funcionando;1
50;no fue esta misma la que advirtio a todo chile sobre los robos negociados y especulacion financiera en desmedro de nuestro pais y a favor de si mismo de sebastian piñera eres muy odiosa mujer grande mi presichile agradecido mañana te despedimos a las  am en la moneda ;0
51;que horrible se nos viene piñera cecilia perez chadwick bellolio los kast karla rubilar la vieja cura melero el rojo edwards y villegas hablando hueas todos los dias;0
52;piñera no da puntada sin hilo cual es la trampa ahora va por el cobre ;0
53;piñera llego a cerro castillo en las horas previas al cambio de mando ;1
54;yo vote por piñera y fui critico en tweter de este gbno pero no puede ser que todavia no asumen y ya estan apitutando a los hijos no se si tienen meritos pero basta de  aprendizaje no  me gusta;1
55;marcelillavn puros xx con numeros  los bots de piñera;0
56;asume piñera y con el se sumaran todos los intelectuales de derecha para pensar el pais que queremos henry boys checho hirane melnick kaiser y marinovic;1
57;kuczynski califico de muy positiva reunion con piñera en chile ;1
58;cuando un gob dice a los  dias que ha hecho mas que en  años ahi empezo quiebreespero que piñera haya madurado;1
59;por favor diosito que sea verdad encuentro ultimo que esten jugando al suspenso con esto pero necesito que a los fachos les entre un kilometro de aji en el hoyo justo cuando asume piera ;1
60;cierrepuntapeuco consagra tanto a mb broche de oro politico a su gobierno como a piñera piñera romperia histo;1
61;no es que piñera sea un modelo de las relaciones entre politica y poder economico pero que le explique como siendo dueño de lan debio renunciar a su empresa y sus utilidades fueron a un fondo de fideicomiso ppk siguio en sus directorios cobraba sus utilidades en su banquito ;0
62;podra piñera convertir a chile en un pais del primer mundo;1
63;eldestapeweb sebastian piñera lpqtp splpqtp mmlpqtp;0
64;coincido piñera no se hara problema le importa mas su imagen y quedar bien con dios y con el diablo era mal menor;0
65;ppk viajo chile para la toma de mando de piñera ;1
66;piñera quiere proyectarse como un lider de america latina en la lucha por la democracia en venezuela por lo tanto no se puede descartar que quiera cumplir con su promesa de campaña y ser consecuente con sus ideas y convertirse en un activista por la democracia en venezuela ;1
67;que piñera meta manos en el cobre es muy peligroso eso de la derogacion de la ley reservada del cobre me huele a manitos largas letra chica y mil hueas no da puntada sin hilo el gato de campo;0
68;menos mal el precidente electo es sebastian piera porke grasias a el abra mas travajo y menos ahitianos viva chile;0
69;esto es lo que busca piñera quedar como el heroe y los imbeciles siguen cayendo el no busca el bien publico busca lucirse y sacar reditos politicos como esta portada como tan ciegos y weones ;0
70;probablemente votaste por piñera o no votaste en las ultimas elecciones gracias gente como tu ahora nos mamamos  años de derecha;0
71;se pronunciara  el gobierno de chile contra el atentado al presidente maduro en venezuelaque opina piñera;1
72;una imagen comunica  en este caso informa  mas q  palabras la falta de foco estrategico en la dc es total aunque por el lado de goic no deberia sorprender mal que mal el  de sus votos de primera vuelta se fueron al candidato piñera en la segunda;0
73;csm pensar que mañana asume el wn de piñera ;1
74;macri estara este domingo en la asuncion de piñera;1
75;compartamos este hermoso momento en que un chileno bien nacido le grita ladron a piñera ;0
76;comunicado  miren fachos y derechistas culiaos si me buscan en face para amenasarme por lo menos pongan fotos los chuchasumadres no les tengo ni cosquillas de miedo si les molesta como trato a su presidente desde aca les digopiñera culiao ladron mentiroso;0
77;es de esperar que nuestros camaradas que con tanto entusiasmo asisten a las comisiones de piñera se hagan el tiempo en la moneda para protestarle al presidente por el atropello de los derechos laborales de cientos de democrata cristianos despedidos de sus trabajos en estos dias;0
78;con la llegada de piñera tiempos oscuros se avecinan;1
79;cbellolio es esa misma gente retrasada que sabiendo que piñera es un sinverguenza de siete suelas igual no mas voto por el;0
80;esta claro que las rree son un tema de estado pero piñera no debe seguir haciendo guiños a la izquierda hoy envio a muñoz a la haya ya lo hizo con guillierbasta piñera no juegues con fuego te puedes quemar ;0
81;el gobierno de piñera no va a hacer milagros simplemente sera un gobierno de buena gestion de sentido comun y de ejemplo de democracia moderna al fin mañana se acaban  años de retroceso;1
82;si bachelet hubiese querido cerrar punta peuco lo habria hecho cualquier cosa que haga ahora se trata de poner a piñera en aprietos no de responder seriamente a las demandas de las victimas;0
83;derrota dura para piñera el panzer no ira a ninguna comision  el senador ps leyo lo evidente pero que izquierdistas no quisieron saber que las comisiones de piñera son artilugios mediaticos para el lucimiento del pdte y una eficaz herramienta para dividir a la oposicion;0
84;que huea la mano de piñera hueooon;0
85;impresionante como la izquierda exige a gobierno de piñera que arregle en  dias cagazos que ellos dejaron en  años ;1
86;el ministro moreno confirmo que el gobierno de piñera rebajara impuestos a las grandes empresas  alrededor de mil millones de dolares dejara de percibir el estadode donde saldra esa diferenciano hay que ser experto economico para saber quienes pagaremos ese costo;1
87;fracaso la campaña de el mercurio para impedir acuerdo de la centroizquierda en el parlamento mañana piñera asumira escoltado por dos socialistas en las presidencias del senado y la camara de diputados;0
88;que piñera y su gentehagan un sahumerio y ventilen la moneda para q salga el olor a rata q dejaran los zurdosno vaya ser cosa q se peguen el antaplop;0
89;presidente piñera con todo el respeto que se merece espero que lleve a juicio a bachelet por todo el daño causado al pais nuestra bandera y la confianza que tuvimos en darle nuestro voto este por sobre su amistad con bachelet hoy esta chile por sobre la amistad;1
90;cuando piñera cerro el penal cordillera se suicido un weon si ahora se suicida otro  empate;0
91;previo al cambiodemando se reunieron piñera y ppkque estaran cocinando estos personajes que tienen el curriculum mas negro que su propia alma;1
92;como primer acto oficial piñera ira a un centro del sename en los  años de su gobierno anterior ni se acordo de los niños abusados;1
93;no quiero que sea mañana  piñera ctm;0
94;ojala piñera no pueda gobernar los  anos completos;1
95;una gran diferencia entre este gobierno y el anterior del presidente piñera es que el actual es capaz de reconocer sus errores rapidamente pasar el trago amargo y rectificar no veo que tenga persistencia en el error a veces en politica se tiende a defender lo indefendible;1
96;hay que refrescarle la memoria a los zurdos que alegan porque el presidente piñera esta despidiendo gente;0
97;bachelet entregara el gobierno de chile a piñera;1
98;ledezma en carta publica dirigida a los presidentes de chile piñera peru kuczynski y argentina  macri les solicito acciones y medidas efectivas para liberar a vzla d la dictadura y ahorrarle a nuestro continente los estragos previsibles d perdurar la narcotirania vzolana;0
99;que dira la historia de mbachelet una gran mujer que realizo grandes cambios en bien de su pais y de piñera  un ladron de bancos electo dos veces presidente de chile que perpetro delitos junto a su familia y banda en su beneficio y perjuicio de su pais;0
100;pueden creer que soy mutual de ski victon sf piñera y peña nieto omg;0
101;la postura de piñera durante la campaña consisitio en dejar fuera a los menores en la ley de identidad de genero modificarla ahora implicaria una traicion a su electorado;0
102;ja ja ja te repito yo no apoyo a ladrones como piera y tampoco a traidores como la dc ppd pc ps nm y la concertacin eso no mas;0
103;piñera enfrentara desafios sociales a la vuelta del gobierno de chile;1
104;piñera  gobierna en contra del clamor popular condiciona la gratuidad al crecimiento economico abre la posibilidad de conmutar penas a genocidas de punta peuco   elimina cuatro feriadossin duda esta gobernando para su clientela politica y los grupos economicos;1
105;siento que cada vez que enfocan a piñera las arrugas me tratan de decir algo estilo el exorcista;0
106;video  cecilia morel dice que piñera no le pega codazos y da particular explicacion;1
107;sebastian piñera yo estoy convencido de que en venezuela no hay democracia ja ja ja ja lo dice otro perrito que mueve la cola y le mete el jocico en el rabo al imperio;0
108;bachelet le enseña a piñera la forma correcta como se debe entregar un gobierno con planificacion en forma oportuna y transparente facilitando todo tipo de informacion en forma publica  no es necesario borrar informacion de computadores y ocultar informacion como delincuente;1
109;me llamaron para trabajar mañana en el mall por el dia pa hacer un reemplazo mañana asume piñera me ofrecen trabajo coincidencia no lo creooooooograsias precidente piera x travajo consedido juzto k lo nesesitaba;1
110;angolmamalcahue aleriquelme hqgatica tambien eres del grupo que considera victimas a los violadores de ddhh ya suerte con piñera ;0
111;no me parece piñera ha dicho que le parece bien mantener esa carcel segregada por lo tanto no pagaria ningun costo con dejar de cumplir ese eventual cierre si bachelet lo decreto ella debio ejecutarlo;0
112;infh crtst  piñera y bachelet multiplican sus actividades en la vispera del cambio de mando;1
113;no me pone triste que se vaya bachelet me pone en alerta el regreso de piñera;1
114;cotchino es piñera les dije yo;0
115;marcemorenomend por todo esto gracias pdte piñera el guiña;0
116;presidente moreno mantuvo reunion con sebastian piñera;0
117;entre que twitter esta cancelando cuentas y piñera va a tomar el mando yo mejor renuncio a la vida;1
118;que buen himno el de los argentinos por mauricio macri mm lpqtp hay que inventar uno para piñera;0
119;tras el banderazo evo va a la asuncion de piñera para ofrecerle un nuevo tiempo de soluciones;1
120;estaba super confundida no sabia por que sebastian piñera salia en mi tl y luego note que era la anto dhfujkasm;0
121;piñeratemertabaresmacritrimp;0
122;que millones de personas irresponsables no hayan votado y tengamos de vuelta a la derecha  con el corrupto sinvergenza de piñera a la cabeza;1
123;los grandes acuerdos por chile a los que invita piñera no tienen color politico la izquierda comete error historico al restarse peor aun justificar ausencia con pequeñeces como es que se debe invitar a traves de los partidos familias chilenas los castigaran otra vez;0
124;piñera culiao no te queremossssss ;0
125;una sucia jugada de la chanchi  dejar la ejecucion del cierre a  piñera porque ella ya no puede  asi es esta sucia corrupta ;1
126;mauricio macri viaja a chile para asistir a la asuncion de piñera  el presidente mantendra una reunion bilateral con el flamante mandatario chileno y con su colega de brasil michel temer;1
127;a proposito de ultimas informaciones en prensa y opiniones sobre tramitacion de lig dejo otras ideas y algunos datos esperando que aporten al momento  proyecto ingreso al congreso nacional el  mayo  por mocion parlamentaria y durante el gobierno de sebastian piñera respuesta  retweets  me gusta;0
128;ya weones yo creo que estamos todos choriados con este gobierno de mierdaya bastaaaa  meses y nunca se habia visto tanta cagada juntacuando hacemos una marcha nacional para que se vaya piñera twitteros influyentes tienen una mision;1
129;los chilenos no podemos seguir aceptando que la corrupcion de los gobiernos de izquierda sigan explicandose como simples errores  la justicia debe investigar y el gobierno del presidente piñera tiene la obligacion de denunciar estos delitos;1
130;piñera no va a cerrar punta peuco tiene acciones alli cierrepuntapeuco;0
131;culpar al gobierno de piñera de la quiebra de fideos suazo como lo hace el alcade de curico es de mala leche la empresa venia mal desde por lo menos  años;1
132;hoy en todo chile ha salido el sol  es el reflejo de nuestra esperanza en el gobierno de nuestro presidente piñera hoy dios  y nuestra bandera inundan nuestro espiritu  hoy nos preparamos para recibirlo;1
133;jaimeantonio kenacats t vas a querer enterrar cuando piñera el lunes  firme el cierre de pta peuco;0
134;se dan cuenta que mañana dejamos de ser el mejor pais de chile porque la soa bachele se va y entra piñera a la presidencia;1
135;cuando creyo que piñera perdia dijo que la udi ya no le acomodaba cuando gano volvio a estar contenta en ese lado no la reeligieron empezo a chuparle las patas a la tv no me extrañaria que quiera hacer un programa de ayuda social solo tiene que maquillarse de buena y humana;0
136;ya se sabe lo de piñera sera lo mismo aumentar su patrimoniola  pregunta  es q haran periodistas como udse  quedaran callados de nuevo mientras el ministro d interior pone a sus hijos en el gob o mientras ministros reciben plata de empresarios;1
137;ppk y piñera en privado habrian conversado algo asi ppkno te preocupes sebas q pase todo este circo de mi vacancia y reiniciamos negocios como antes  piñerapero ppk  hay q reunirnos tambien con tu vice por si las moscas ppknonono y piñera ji ji jiqhuon eres;0
138;el presidente electo de chile sebastian piñera afirmo que una vez que tome su segundo cargo de cuatro años no abandonara la lucha por la democracia de venezuela;1
139;ahora todos los hueones reclamando porque piñera le bajara los impuestos a los empresarios de  a  no les gusto quedarse hueveando en la casa y no gastar una hora de su tiempo pa ir a votar se aguantan los culiaos ahora;0
140;reunion con juan carlos i y otras autoridades revisa las imagenes de las audiencias oficiales de sebastian piñera;1
141;por lo mismo  una mujer que corre a saltitos  a abrazar a fidel castro con un brazo y con la orra mano bajandose los churrines no tiene ningun peso moral para cerrar punta peuco piñera debiese mandarlos a la casa a todos esos ancianos por motivos humanitarios ;0
142;tomas muller intimo amigo de piñera  es el socio principal de inversiones altis quienes administrara el fideicomiso ciegode piñera untongo mas que se lo compran todos los fachos pobres;1
143;la presidenta cumplio su ultimo dia habil en el palacio de la moneda este domingo le entregara el poder a sebastian piñera;1
144;mario desbordes chile necesita urgente que sebastian piñera tome las riendas de este pais porque nos entregan un pais aporreado;1
145;faltan unas horas para empezar a recuperar chile piñera un presidente a la altura de lo q necesita el pais;1
146;vi hugo gutierrez y me lo imagine hospitalizado con suero por la tremenda cagadera que tendra despues de caer en la realidad y comprobar que mañana marzo piñera si o si sera el presidente de chile  lo siento huguito pero no hay plazo que no se cumpla;1
147;la dc con pataleta por la aparicion de c goic  en tv con el presidente piñera sobre el llamado a la comision de seguridad mostrando  el caracter de totalitarismo de izquierda de la dc;0
148;piñera presenta a su gabinete ;1
149;si bachelet esta cerrando pta peuco de esta forma apostaria q esta conversado y acordado con piñera;0
150;america latina los retos y logros que piñera hereda de bachelet en sus palabras;1
151;el nuevo gobierno de sebastian piñera tiene prisa por tramitar la ley de migracion;1
152;asi sera la primera actividad de sebastian piñera como presidente;1
153;el que viene sera un fin de semana de mierda  deja la presidencia mbachelet  asume el delincuente giña corrupto piñera y sus secuaces no habra futbol y no vere a la u;1
154;cuando estaba la soa bachelet decian que las cifras de inmigracion eran falsas porque ella tenia un negocio con la onu ridiculez maxima xd y ahora que el gobierno de piñera entrega nuevamente cifras no las creen pq anteponen percepcion a evidencia estan de patio;1
155;y bien por el sename tonda ha trabajado en distintas areas y siendo mas bien de izquierda siempre ha contado con la confianza de piñera;0
156;el mandato de piñera estara marcado por un plan estrategico ambicioso plantar cara a la izquierda en lo que esta ha considerado su territorio exclusivo la preocupacion particular por los sectores vulnerables;1
157; millones de dolares en viaticos  autos y chaya reducira el gobierno para destinar al aumento subvencion por niño de sename bravo piñera pd al que no le parezca  que chupe la que cuelga;0
158;con que derecho y con que moral el rasca piñera limita el numero de licencias de un medico esto solo lo concibe un cerebro atrofiado si le aguantamos esta quiere decir que nos hemos convertidos en hongos;0
159;ppk y piñera se reunieron en academia diplomatica de chile;0
160;para hacer la plata que tiene piñera hay q trabajar ser proactivo diligente emprendedor trabajador cosa que esta gente no  conoce  un comunista emprendedor resentidos y desclasados sociales el exito de otros no lo toleran;0
161;ojala obliguen a piñera a cerrar punta peuco es tan hoc mi reina;0
162;el abogado de los reos de punta peuco afirmo lo siguiente si el penal lo cierran ahora piera lo volvera a abrir;0
163;piñera afirma que seguira luchando por restablecer la democracia en venezuela;0
164;abogado de los reos de punta peuco si el penal se llega a cerrar piñera lo va a reabrir;0
165;cambiodemando alli baba piñera regresa con su sequito de imputados;1
166;maggiaustral belaanjali jessygamboa kawaiiimin jajajajja si fuera bot no hubiera votado en las elecciones por algo gano piñera;0
167;algunos me preguntan si es dificil ser gay en cauquenes y yo les respondo siempre esto en mi pueblo hay un puente que se llama presidente sebastian piñera y concecta con la poblacion augusto pinochet yo creo que esto lo deja bastante claro;0
168;el cierrepuntapeuco a un dia de dejar el gobierno nos muestra la cobardia de la bachelet dejandole un tremendo problema a piñera desde un inicio y ella yendose dandose un gustito personal esto es de una mezquindad digna de esta izquierda resentida fracasada e irresponsable;0
169;lo dejaron hacer pebre a bachelet semanalmente por  años y era el mas gracioso  dias antes que asuma piñera emol quiere bajar a yerko puchento que conveniente ;1
170;me parece gran señal de sebastian piñera en iniciar sus actividades como presidente en el sename ltima prioridad;1
171;nuevo memorial para honrar con  olivos a los  alumnos y profesores de la usach entonces u tecnica del estado asesinados por la dictadura piñera chadwick larrain larroulet y muchos otros funcionarios del proximo gbno aplaudieron de pie pero hoy prefieren mirar a cuba;1
172;marchademarzo contra piñera;0
173;la mision de juan carlos i en el nuevo mandato de sebastian piñera en chile ;1
174;seguro que pedira reunion con piñera y le dira ya pues piñera no seas malito llama a la prensa y deciles que te sorprende el banderazo que estas asustado que vas a negociar no me cagues la peguita no seas malo hermanito bien creidos estan mis llunkus;0
175;ahoraescuchas columba by banda la piñera  quieres escucharla en vivo clic aqui;0
176;sebastian piñera promete no bajar la presion sobre venezuela estoy convencido de que en venezuela no hay democracia no hay estado de derecho no se respetan los derechos humanos y se esta viviendo una profunda crisis politica economica y social;1
177;la doctora gloria burgos medico de la chile asume como subse de redes asistenciales de sebastian piñera cooperativa en reemplazo de toso;1
178;cierrepuntapeuco lo que entendi va a ser piñera a quien le toque ccerrar punta p  jugada macabra;0
179;me desaparezco un dia de twitter y en brasil esta la caga piñera rompiendo el record de piñericosa por dia y se robaron el sol;0
180;piñera lo que quiere es figurar en el club de derechistas supuestamente progresistas de suramerica como macri y temer creen que preocupandose por venezuela los hara tener una imagen democratica estan muy lejos de serlo son unos titeres de eeuu;1
181;que da gusto ver al presidente piñera en reuniones bilaterales con gente decente ningun maduro morales noriega castro correa;1
182;lmrendon fbaezurbina bachelet no se atrevio a cerrar punta peuco y piñera no lo cerrara;1
183;sra peruana acogida en chile y su comentario mala lechepiñera jugando tenis en club de fernando gonzalez en el dia del deporte e inicio de copa davis con argentina;0
184;piñera sera responsable de lo que pase el creo falsas expectativas mintio y ahora no puede cumplir rodeado de amigos ineptos el  la calle dira lo que tiene que decir;0
185;señor piñera renuncie renuncie y entreguese a la justicia y haga renunciar a su familia tambien y devuelva el auto la tele y la plata del banco de talca tambien so sinvergenza hagalo por ;1
186;los retos que enfrentara sebastian piñera en su nueva etapa como presidente de chile ;1
